DateTime,Place_EN,Place_AR,Confirmed,Deaths,Recovered,Active,Governorate_EN,Governorate_AR,Region_EN,Region_AR
2020-03-02 00:00:00,Al Qatif,القطيف,1,0,0,1,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-04 00:00:00,Al Qatif,القطيف,1,0,0,1,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-05 00:00:00,Al Qatif,القطيف,3,0,0,3,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-07 00:00:00,Al Qatif,القطيف,2,0,0,2,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-08 00:00:00,Al Qatif,القطيف,4,0,0,4,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-09 00:00:00,AR RIYAD,الرياض,1,0,0,1,Ar Riyad,الرياض (مقر الامارة),Ar Riyad,الرياض
2020-03-09 00:00:00,Al Qatif,القطيف,3,0,0,3,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-10 00:00:00,Ad Dammam,الدمام,4,0,0,4,Dammam,الدمام,Eastern Region,المنطقة الشرقية
2020-03-10 00:00:00,MAKKAH al MUKARRAMAH,مكة المكرمة,1,0,0,1,Makkah Al Mukarramah,مكة المكرمة (مقر الإمارة),Makkah Al Mukarramah,مكة المكرمة
2020-03-11 00:00:00,Jeddah,جدة,1,0,0,1,Jiddah,جدة,Makkah Al Mukarramah,مكة المكرمة
2020-03-12 00:00:00,Al Qatif,القطيف,3,0,1,2,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-12 00:00:00,MAKKAH al MUKARRAMAH,مكة المكرمة,21,0,0,21,Makkah Al Mukarramah,مكة المكرمة (مقر الإمارة),Makkah Al Mukarramah,مكة المكرمة
2020-03-13 00:00:00,AR RIYAD,الرياض,3,0,0,3,Ar Riyad,الرياض (مقر الامارة),Ar Riyad,الرياض
2020-03-13 00:00:00,Ad Dammam,الدمام,7,0,0,7,Dammam,الدمام,Eastern Region,المنطقة الشرقية
2020-03-13 00:00:00,Al Hufuf,الهفوف,1,0,0,1,Al Ahsa,الاحساء,Eastern Region,المنطقة الشرقية
2020-03-13 00:00:00,Al Qatif,القطيف,3,0,0,3,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-13 00:00:00,Jeddah,جدة,1,0,0,1,Jiddah,جدة,Makkah Al Mukarramah,مكة المكرمة
2020-03-13 00:00:00,MAKKAH al MUKARRAMAH,مكة المكرمة,26,0,0,26,Makkah Al Mukarramah,مكة المكرمة (مقر الإمارة),Makkah Al Mukarramah,مكة المكرمة
2020-03-14 00:00:00,AR RIYAD,الرياض,12,0,0,12,Ar Riyad,الرياض (مقر الامارة),Ar Riyad,الرياض
2020-03-14 00:00:00,Al Hufuf,الهفوف,1,0,0,1,Al Ahsa,الاحساء,Eastern Region,المنطقة الشرقية
2020-03-14 00:00:00,Al Qatif,القطيف,3,0,1,2,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-14 00:00:00,Jeddah,جدة,1,0,0,1,Jiddah,جدة,Makkah Al Mukarramah,مكة المكرمة
2020-03-15 00:00:00,AD͟h D͟hahran,الظهران,3,0,0,3,Dammam,الدمام,Eastern Region,المنطقة الشرقية
2020-03-15 00:00:00,AR RIYAD,الرياض,2,0,0,2,Ar Riyad,الرياض (مقر الامارة),Ar Riyad,الرياض
2020-03-15 00:00:00,Ad Dammam,الدمام,1,0,1,0,Dammam,الدمام,Eastern Region,المنطقة الشرقية
2020-03-15 00:00:00,Al Qatif,القطيف,7,0,0,7,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-15 00:00:00,Jeddah,جدة,2,0,0,2,Jiddah,جدة,Makkah Al Mukarramah,مكة المكرمة
2020-03-16 00:00:00,AD͟h D͟hahran,الظهران,1,0,0,1,Dammam,الدمام,Eastern Region,المنطقة الشرقية
2020-03-16 00:00:00,AR RIYAD,الرياض,4,0,0,4,Ar Riyad,الرياض (مقر الامارة),Ar Riyad,الرياض
2020-03-16 00:00:00,Al Qatif,القطيف,1,0,3,-2,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-16 00:00:00,JAZAN,جازان,2,0,0,2,Jazan,جازان (مقر الامارة),Jazan,جازان
2020-03-16 00:00:00,Jeddah,جدة,5,0,0,5,Jiddah,جدة,Makkah Al Mukarramah,مكة المكرمة
2020-03-16 00:00:00,MAKKAH al MUKARRAMAH,مكة المكرمة,2,0,0,2,Makkah Al Mukarramah,مكة المكرمة (مقر الإمارة),Makkah Al Mukarramah,مكة المكرمة
2020-03-17 00:00:00,AD͟h D͟hahran,الظهران,3,0,0,3,Dammam,الدمام,Eastern Region,المنطقة الشرقية
2020-03-17 00:00:00,AR RIYAD,الرياض,19,0,0,19,Ar Riyad,الرياض (مقر الامارة),Ar Riyad,الرياض
2020-03-17 00:00:00,Al Qatif,القطيف,10,0,0,10,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-17 00:00:00,Jeddah,جدة,3,0,0,3,Jiddah,جدة,Makkah Al Mukarramah,مكة المكرمة
2020-03-17 00:00:00,MAKKAH al MUKARRAMAH,مكة المكرمة,3,0,0,3,Makkah Al Mukarramah,مكة المكرمة (مقر الإمارة),Makkah Al Mukarramah,مكة المكرمة
2020-03-18 00:00:00,ABHA,أبها,1,0,0,1,Abha,ابها (مقر الإمارة),Aseer,عسير
2020-03-18 00:00:00,AR RIYAD,الرياض,19,0,0,19,Ar Riyad,الرياض (مقر الامارة),Ar Riyad,الرياض
2020-03-18 00:00:00,Ad Dammam,الدمام,23,0,2,21,Dammam,الدمام,Eastern Region,المنطقة الشرقية
2020-03-18 00:00:00,Jeddah,جدة,13,0,0,13,Jiddah,جدة,Makkah Al Mukarramah,مكة المكرمة
2020-03-18 00:00:00,MAKKAH al MUKARRAMAH,مكة المكرمة,11,0,0,11,Makkah Al Mukarramah,مكة المكرمة (مقر الإمارة),Makkah Al Mukarramah,مكة المكرمة
2020-03-19 00:00:00,AD͟h D͟hahran,الظهران,1,0,0,1,Dammam,الدمام,Eastern Region,المنطقة الشرقية
2020-03-19 00:00:00,AR RIYAD,الرياض,21,0,0,21,Ar Riyad,الرياض (مقر الامارة),Ar Riyad,الرياض
2020-03-19 00:00:00,Ad Dammam,الدمام,3,0,0,3,Dammam,الدمام,Eastern Region,المنطقة الشرقية
2020-03-19 00:00:00,Al Hufuf,الهفوف,2,0,0,2,Al Ahsa,الاحساء,Eastern Region,المنطقة الشرقية
2020-03-19 00:00:00,Al Qatif,القطيف,4,0,0,4,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-19 00:00:00,Jeddah,جدة,1,0,0,1,Jiddah,جدة,Makkah Al Mukarramah,مكة المكرمة
2020-03-19 00:00:00,MAKKAH al MUKARRAMAH,مكة المكرمة,3,0,0,3,Makkah Al Mukarramah,مكة المكرمة (مقر الإمارة),Makkah Al Mukarramah,مكة المكرمة
2020-03-19 00:00:00,Mahayil,محايل,1,0,0,1,Muhayil,محايل,Aseer,عسير
2020-03-20 00:00:00,AD͟h D͟hahran,الظهران,1,0,0,1,Dammam,الدمام,Eastern Region,المنطقة الشرقية
2020-03-20 00:00:00,AL BAHAH,الباحة,1,0,0,1,Al Bahah,الباحة (مقرالامارة),Al Bahah,الباحة
2020-03-20 00:00:00,AL MADINAH al MUNAWWARAH,المدينة المنورة,1,0,0,1,Al Madinah Al Munawwarah,المدينة المنورة (مقر الامارة),Al Madinah Al Munawwarah,المدينة المنورة
2020-03-20 00:00:00,AR RIYAD,الرياض,49,0,0,49,Ar Riyad,الرياض (مقر الامارة),Ar Riyad,الرياض
2020-03-20 00:00:00,Ad Dammam,الدمام,1,0,0,1,Dammam,الدمام,Eastern Region,المنطقة الشرقية
2020-03-20 00:00:00,Al Qatif,القطيف,1,0,0,1,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-20 00:00:00,Bishah,بيشة,1,0,0,1,Bishah,بيشه,Aseer,عسير
2020-03-20 00:00:00,Hafar al Batin,حفر الباطن,1,0,0,1,Hafar Al Batin,حفر الباطن,Eastern Region,المنطقة الشرقية
2020-03-20 00:00:00,Jeddah,جدة,11,0,0,11,Jiddah,جدة,Makkah Al Mukarramah,مكة المكرمة
2020-03-20 00:00:00,MAKKAH al MUKARRAMAH,مكة المكرمة,2,0,0,2,Makkah Al Mukarramah,مكة المكرمة (مقر الإمارة),Makkah Al Mukarramah,مكة المكرمة
2020-03-20 00:00:00,TABUK,تبوك,1,0,0,1,Tabuk,تبوك (مقرالامارة),Tabuk,تبوك
2020-03-21 00:00:00,AD͟h D͟hahran,الظهران,1,0,1,0,Dammam,الدمام,Eastern Region,المنطقة الشرقية
2020-03-21 00:00:00,AR RIYAD,الرياض,36,0,8,28,Ar Riyad,الرياض (مقر الامارة),Ar Riyad,الرياض
2020-03-21 00:00:00,Al Hufuf,الهفوف,2,0,0,2,Al Ahsa,الاحساء,Eastern Region,المنطقة الشرقية
2020-03-21 00:00:00,Al Qatif,القطيف,1,0,1,0,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-21 00:00:00,An Nuʻayriyyah,النعيرية,1,0,0,1,Al Nuayriyah,النعيريه,Eastern Region,المنطقة الشرقية
2020-03-21 00:00:00,Jeddah,جدة,5,0,3,2,Jiddah,جدة,Makkah Al Mukarramah,مكة المكرمة
2020-03-21 00:00:00,MAKKAH al MUKARRAMAH,مكة المكرمة,2,0,3,-1,Makkah Al Mukarramah,مكة المكرمة (مقر الإمارة),Makkah Al Mukarramah,مكة المكرمة
2020-03-22 01:38:20,MAKKAH al MUKARRAMAH,مكة المكرمة,72,0,0,72,Makkah Al Mukarramah,مكة المكرمة (مقر الإمارة),Makkah Al Mukarramah,مكة المكرمة
2020-03-22 01:46:55,AR RIYAD,الرياض,34,0,0,34,Ar Riyad,الرياض (مقر الامارة),Ar Riyad,الرياض
2020-03-22 01:50:21,Ad Dammam,الدمام,1,0,0,1,Dammam,الدمام,Eastern Region,المنطقة الشرقية
2020-03-22 01:54:43,Al Qatif,القطيف,4,0,0,4,Al Qatif,القطيف,Eastern Region,المنطقة الشرقية
2020-03-22 01:55:46,Al Hufuf,الهفوف,3,0,0,3,Al Ahsa,الاحساء,Eastern Region,المنطقة الشرقية
2020-03-22 01:57:36,Al Khubar,الخبر,3,0,0,3,Al Khubar,الخبر,Eastern Region,المنطقة الشرقية
2020-03-22 01:58:17,AD͟h D͟hahran,الظهران,1,0,0,1,Dammam,الدمام,Eastern Region,المنطقة الشرقية
2020-03-22 02:00:03,BURAYDAH,بريدة,1,0,0,1,Buraydah,بريده (مقرالامارة),Al Qaseem,القصيم
2020-03-23 02:09:56,AR RIYAD,الرياض,18,0,0,18,Ar Riyad,الرياض (مقر الامارة),Ar Riyad,الرياض
2020-03-23 02:10:43,MAKKAH al MUKARRAMAH,مكة المكرمة,12,0,0,12,Makkah Al Mukarramah,مكة المكرمة (مقر الإمارة),Makkah Al Mukarramah,مكة المكرمة
2020-03-23 02:11:40,At Taʼif,الطائف,6,0,0,6,Al Taif,الطائف,Makkah Al Mukarramah,مكة المكرمة
2020-03-23 02:12:34,Bishah,بيشة,5,0,0,5,Bishah,بيشه,Aseer,عسير
2020-03-23 02:14:22,Ad Dammam,الدمام,3,0,0,3,Dammam,الدمام,Eastern Region,المنطقة الشرقية
